key_										count_		count_wiki	count_multi	count_semi	count_single	
abandoned:snowmobile								1		0		0		0		1		
abandoned:social_facility							2		0		0		0		2		
abandoned:social_facility:for							1		0		0		0		1		
abandoned:source								12		0		0		0		7		
abandoned:source:date								30		0		0		0		1		
abandoned:space									1		0		0		0		1		
abandoned:sport									183		0		0		0		29		
abandoned:start_date								359		0		0		0		23		
abandoned:station								1		0		0		0		1		
abandoned:steps									2		0		0		0		1		
abandoned:studio								1		0		0		0		1		
abandoned:substation								727		0		0		0		3		
abandoned:subtype								1		0		0		0		1		
abandoned:surface								213		0		0		0		18		
abandoned:survey:date								1		0		0		0		1		
abandoned:swimming_pool								3		0		0		0		2		
abandoned:telecom								1		0		0		0		1		
abandoned:tents									1		0		0		0		1		
abandoned:theatre:type								1		0		0		0		1		
abandoned:tmc									9		0		0		0		2		
abandoned:toilets:wheelchair							1		0		0		0		1		
abandoned:tourism								301		0		0		0		20		
abandoned:tower:type								14		0		0		0		4		
abandoned:traces								1		0		0		0		1		
abandoned:track									41		0		0		0		4		
abandoned:tracks								371		0		0		0		2		
abandoned:tracktype								387		0		0		0		5		
abandoned:track_ref								2		0		0		0		1		
abandoned:trailblazed								4		0		0		0		1		
abandoned:trail_visibility							15		0		0		0		7		
abandoned:tram									6		0		0		0		1		
abandoned:trees									1		0		0		0		1		
abandoned:tunnel								26		0		0		0		3		
abandoned:turkey_class								8		0		0		0		1		
abandoned:turn:lanes								4		0		4		0		0		
abandoned:turntable								1		0		0		0		1		
abandoned:type									1		0		0		0		1		
abandoned:uic_name								1		0		0		0		1		
abandoned:university								1		0		0		0		1		
abandoned:usage									1215		0		0		0		7		
abandoned:village:end_date							1		0		0		0		1		
abandoned:voltage								379		0		0		0		15		
abandoned:wall									3		0		0		0		1		
abandoned:was:ref								2		0		0		0		1		
abandoned:water									53		0		0		0		6		
abandoned:watermill								1		0		0		0		1		
abandoned:waterway								1588		0		0		0		17		
abandoned:water_purification							1		0		0		0		1		
abandoned:website								11		0		0		0		11		
abandoned:wheelchair								5		0		0		0		3		
abandoned:width									14		0		0		0		6		
abandoned:wikidata								23		0		0		0		3		
abandoned:wikimedia_commons							1		0		0		0		1		
abandoned:wikipedia								101		0		0		0		7		
abandoned:winter_road								1		0		0		0		1		
abandoned:wires									3		0		0		0		1		
abandoned:workrules								41		0		0		0		1		
abandoned:works									1		0		0		0		1		
abandoned:zoo									4		0		0		0		3		
abandoned_1									7		0		0		0		2		
abandoned_at									8		0		0		0		5		
abandoned_date									1991		0		0		0		21		
abandone_1									6		0		0		0		1		
abandonned:railway								815		0		0		0		2		
abandon_date									1		0		0		0		1		
abattoir									1		0		0		0		1		
abb otopark									1		0		0		0		1		
abbatoir									1		0		0		0		1		
abbr										30		0		0		0		30		
abbr:barangay									1		0		0		0		1		
abbr:name									2		0		0		0		2		
abbreviation									156		0		0		0		111		
abbruchkante									11		0		0		0		2		
abbr_name									5062		0		0		2		741		
abbr_name:en									5		0		0		0		5		
abbr_name:es									1		0		0		0		1		
abbr_name:fr									1		0		0		0		1		
abbr_name_1									1		0		0		0		1		
abn										1		0		0		0		1		
aboundet									1		0		0		0		1		
above:information								2		0		0		0		1		
aboveground									4		0		0		0		2		
abschnitt									3		0		0		0		2		
abseiling									1		0		0		0		1		
absent:man_made									1		0		0		0		1		
abused										1		0		0		0		1		
abutters									71027		0		0		13		73		
abutters:left									7		0		0		0		2		
abutters:right									8		0		0		0		3		
aca:classification								5		0		0		0		1		
aca:classification:ja								5		0		0		0		1		
aca:criteria									5		0		0		0		3		
aca:inscription_date								9		0		0		0		3		
aca:name									5		0		0		0		5		
aca:name:ja-hira								5		0		0		0		5		
academy										1		0		0		0		1		
acc										23		0		0		0		6		
accelerator:part								3		0		0		0		1		
acceso										38		0		0		0		1		
access										12406898	19		22		234		2160		
access.real									1		0		0		0		1		
access:-2015-11-04								3		0		0		0		1		
access:1986-2003								1		0		0		0		1		
access:1986-2005								1		0		0		0		1		
access:1986-2009								3		0		0		0		1		
access:1990-1993								4		0		0		0		1		
access:1990-2005								1		0		0		0		1		
access:1990-2009								5		0		0		0		1		
access:1994-2005								1		0		0		0		1		
access:1998-2009								4		0		0		0		1		
access:2002-2005								5		0		0		0		1		
access:2002-2009								1		0		0		0		1		
access:2006-2009								26		0		0		0		1		
access:2015									1		0		0		0		1		
access:2019-06-01-								1		0		0		0		1		
access:adults									2		0		0		0		2		
access:age									2		0		0		0		2		
access:agricultural								27		0		0		0		3		
access:agricultural.maxweight							19		0		0		0		1		
access:agricultural:maxweight							8		0		0		0		1		
access:agriculture								2		0		0		0		1		
access:all:max_mass								1		0		0		0		1		
access:backward									342		0		11		0		14		
access:backward:conditional							38		0		0		5		10		
access:bdouble									38		0		0		0		2		
access:bicycle									332		0		0		0		8		
access:bicycle:conditional							46		0		0		1		4		
access:bike									3		0		0		0		1		
access:blind									57		0		0		0		3		
access:bluebadge								6		0		0		0		1		
access:boat									5		0		0		0		3		
access:both_ways								565		0		0		0		2		
access:bus									379		0		0		0		5		
access:camper									3		0		0		0		2		
access:car									21		0		0		0		5		
access:caravan									11		0		0		0		3		
access:carpool									1		0		0		0		1		
access:carriage									19		0		0		0		1		
access:carsharing								2		0		0		0		2		
access:cern									7		0		0		0		1		
access:charging									31		0		0		0		2		
access:citizenship								27		0		0		5		1		
access:comment									5		0		0		0		1		
access:complicated_conditional:image						5		0		0		0		2		
access:conditional								18376		0		1		393		1856		
access:covered									1		0		0		0		1		
access:covid19									1030		0		0		0		11		
access:customer									177		0		0		0		5		
access:customer:disabled							3		0		0		0		1		
access:date_off									15		0		0		0		4		
access:date_on									15		0		0		0		4		
access:deaf									40		0		0		0		1		
access:delivery									56		0		0		0		5		
access:delivery:disabled							3		0		0		0		1		
access:description								285		0		0		3		102		
access:description:de								1		0		0		0		1		
access:description:en								3		0		0		0		1		
access:description:lanes							1		0		1		0		0		
access:description:zh								3		0		0		0		1		
access:designation								2		0		0		0		2		
access:destination								46		0		0		0		3		
access:de_facto									1		0		0		0		1		
access:disabled									7413		0		0		0		13		
access:disabled:blue_badge							1		0		0		0		1		
access:dog									21		0		0		0		2		
access:dogs									23		0		0		0		4		
access:double_decker_bus							11		0		0		0		1		
access:double_tracked								1		0		0		0		1		
access:emergency								55		0		0		0		3		
access:employee									186		0		0		0		3		
access:employees								2		0		0		0		1		
access:explosives								97		0		0		0		1		
access:explosives:conditional							7		0		0		0		1		
access:explosives:forward							1		0		0		0		1		
access:explosives:forward:conditional						1		0		0		0		1		
access:farm									1		0		0		0		1		
access:fishing									1		0		0		0		1		
access:foot									841		0		0		0		7		
access:forestry									6		0		0		0		2		
access:forward									188		0		5		1		12		
access:forward:conditional							49		0		0		4		13		
access:fuel:lpg									133		0		0		0		2		
access:general									1		0		0		0		1		
access:goods									40		0		0		0		5		
access:goods:conditional							6		0		0		0		2		
access:goods:times								1		0		0		0		1		
access:guest									5		0		0		0		1		
access:hazmat									13		0		0		0		1		
access:hgv									614		0		0		2		23		
access:hgv:conditional								26		0		0		1		7		
access:hgv:no									14		0		0		0		1		
access:hgv:note									1		0		0		0		1		
access:horse									223		0		0		0		3		
access:horses									4		0		0		0		2		
access:hour_off									11		0		0		0		5		
access:hour_off_1								1		0		0		0		1		
access:hour_off_2								1		0		0		0		1		
access:hour_on									4		0		0		0		4		
access:hour_on_1								1		0		0		0		1		
access:hour_on_2								1		0		0		0		1		
access:hvg									84		0		0		0		3		
access:ice									3		0		0		0		1		
access:internet_access								1		0		0		0		1		
access:internet_order_withdrawal						1		0		0		0		1		
access:kite									2		0		0		0		2		
access:lane									34		0		1		0		5		
access:lanes									10065		0		230		12		3		
access:lanes:backward								3290		0		67		6		10		
access:lanes:backward:conditional						20		0		8		3		0		
access:lanes:both_ways								1893		0		3		0		8		
access:lanes:bus								2		0		0		0		1		
access:lanes:conditional							624		0		30		10		0		
access:lanes:forward								3437		0		87		9		6		
access:lanes:forward:conditional						36		0		10		4		0		
access:lastcheck								1		0		0		0		1		
access:left									3		0		0		0		2		
access:lgv									7		0		0		0		2		
access:lgv.time									5		0		0		0		2		
access:lhv									123		0		0		0		3		
access:lhv:trailer								32		0		0		0		1		
access:loading									2		0		0		0		1		
access:long									1		0		0		0		1		
access:lpg									13		0		0		0		1		
access:lvg									36		0		0		0		1		
access:maxload									3		0		0		0		1		
access:maxweight								23		0		0		1		3		
access:mental_disabled								54		0		0		0		1		
access:military									6		0		0		0		1		
access:minibus									1		0		0		0		1		
access:moped									36		0		0		0		3		
access:moped:backward								1		0		0		0		1		
access:motor									22		0		0		0		3		
access:motorcar									70		0		0		0		6		
access:motorcycle								41		0		0		0		4		
access:motorcycle:conditional							39		0		0		0		9		
access:motorhome								15		0		0		0		2		
access:motorhome:conditional							1		0		0		0		1		
access:motorized.time								3		0		0		0		1		
access:motor_vehicle								113		0		0		0		16		
access:motor_vehicle:conditional						73		0		0		5		14		
access:motor_vehicle:hgv:backward						1		0		0		0		1		
access:motor_vehicles								12		0		0		0		3		
access:n3									5354		0		0		0		1		
access:n3:forward								13		0		0		0		1		
access:night									5		0		0		0		1		
access:note									593		0		0		3		133		
access:note2									1		0		0		0		1		
access:note:de									6		0		0		0		2		
access:note:sk									40		0		0		0		8		
access:official									1		0		0		0		1		
access:offroad									17		0		0		0		2		
access:offroad:conditional							8		0		0		0		3		
access:ohv									1		0		0		0		1		
access:onroad:conditional							8		0		0		0		1		
access:opening_hours								1		0		0		1		0		
access:operator									26		0		0		0		2		
access:opposite_line								1		0		0		0		1		
access:parent									132		0		0		0		4		
access:parents									26		0		0		0		1		
access:parking									2		0		0		0		2		
access:parking:conditional							1		0		0		0		1		
access:parking:lane:right							1		0		0		0		1		
access:park_and_ride								1		0		0		0		1		
access:period									1		0		0		0		1		
access:permissive								32		0		0		0		2		
access:permit									67		0		0		1		8		
access:permit_holder								1		0		0		0		1		
access:physical									6		0		0		0		2		
access:playground								1		0		0		0		1		
access:psv									108		0		0		0		5		
access:psv:bus									1		0		0		0		1		
access:psv:minibus								3		0		0		0		1		
access:pt_bus									1		0		0		0		1		
access:reason									2		0		0		0		1		
access:resident									41		0		0		0		2		
access:residents								19		0		0		0		1		
access:restricted								3		0		0		0		3		
access:restriction								1		0		0		0		1		
access:right									3		0		0		0		2		
access:roadtrain								45		0		0		0		2		
access:role									300		0		0		0		4		
access:roof									46198		0		0		0		20		
access:rsu									1		0		0		0		1		
access:school									3		0		0		0		1		
access:seasonal									3		0		0		0		1		
access:seasonal:winter								1		0		0		0		1		
access:service									7		0		0		0		2		
access:sign									49		0		0		0		1		
access:skateboard:conditional							2		0		0		0		1		
access:ski									2		0		0		0		1		
access:smartcard								2		0		0		0		1		
access:smoking									16		0		0		0		1		
access:snow									1		0		0		0		1		
access:snowmobile								2		0		0		0		2		
access:source									82		0		0		0		16		
access:start_date								10		0		0		0		2		
access:survey:date								10		0		0		0		3		
access:swell									2		0		0		0		1		
access:swim									1		0		0		0		1		
access:swimming									6		0		0		0		2		
access:taxi									51		0		0		0		2		
access:temporary								2		0		0		0		1		
access:thunderstorm								2		0		0		0		1		
access:tidal_range								5		0		0		0		5		
access:tide									28		0		0		0		11		
access:time									3		0		0		0		3		
access:time_interval								11		0		0		0		2		
access:tourist									3		0		0		0		1		
access:tourist_bus								10		0		0		0		3		
access:tracked									1		0		0		0		1		
access:tractor									1		0		0		0		1		
access:traffic_sign								39		0		0		3		5		
access:trailer									18		0		0		0		2		
access:uncovered								1		0		0		0		1		
