key_								count_		count_wiki	count_multi	count_semi	count_single	
addr:district:fa						1		0		0		0		1		
addr:district:hi						1		0		0		0		1		
addr:district:ru						37		0		0		0		11		
addr:district:ta						10		0		0		0		1		
addr:district:th						5		0		0		0		1		
addr:district:uk						20		0		0		0		7		
addr:district:zh						1		0		0		0		1		
addr:district_1							1		0		0		0		1		
addr:division							286		0		0		0		2		
addr:door							7511		0		0		29		1493		
addr:doors							1		0		0		0		1		
addr:electronique						1		0		0		0		1		
addr:entrance							277		0		0		0		58		
addr:erf							654		0		0		0		593		
addr:farm_name							1		0		0		0		1		
addr:flag							2		0		0		0		1		
addr:flat							97		0		0		4		47		
addr:flatnumber							43		0		0		1		25		
addr:flatnumber:source						5		0		0		0		1		
addr:flats							201961		0		0		4169		18798		
addr:flats:1							1		0		0		1		0		
addr:flats:2							1		0		0		0		1		
addr:flats:en							6		0		0		0		1		
addr:flats:label						2		0		0		0		1		
addr:floor							20345		0		0		79		405		
addr:floor:2015							1		0		0		0		1		
addr:floor_1							4		0		0		0		3		
addr:fokontany							1		0		0		0		1		
addr:ful							6		0		0		0		6		
addr:full							548624		0		9		162		435175		
addr:full:ar							2		0		0		0		2		
addr:full:en							64		0		0		0		64		
addr:full:ja							12		0		0		0		11		
addr:full:ja_kana						3		0		0		0		3		
addr:full:jur							2		0		0		0		1		
addr:full:ko							1		0		0		0		1		
addr:full:ru							21		0		0		0		21		
addr:full:th							1		0		0		0		1		
addr:full:uz-cyr						20		0		0		0		8		
addr:full:zh							7		0		0		0		7		
addr:full_1							3		0		0		0		3		
addr:geometry							1		0		0		0		1		
addr:governorate						311		0		0		0		25		
addr:grid							15		0		0		0		1		
addr:hamlet							353660		0		0		2		8389		
addr:hamlet:de							30764		0		0		0		208		
addr:hamlet:en							225		0		0		0		56		
addr:hamlet:it							30765		0		0		0		214		
addr:hamlet:lld							3001		0		0		0		14		
addr:hamlet:sc							1		0		0		0		1		
addr:hint							3		0		0		0		2		
addr:house							26		0		0		0		20		
addr:housecode							1		0		0		0		1		
addr:housecolor							12		0		0		0		6		
addr:housename							133201		0		12		30		83829		
addr:housename:ar						36		0		0		0		27		
addr:housename:bg						1		0		0		0		1		
addr:housename:de						1		0		0		0		1		
addr:housename:en						141		0		0		0		94		
addr:housename:es						1		0		0		0		1		
addr:housename:fr						1		0		0		0		1		
addr:housename:hi						1		0		0		0		1		
addr:housename:it						1		0		0		0		1		
addr:housename:ja						11		0		0		0		8		
addr:housename:ja-hira						4		0		0		0		2		
addr:housename:ja-hrkt						1		0		0		0		1		
addr:housename:ja-jpan						1		0		0		0		1		
addr:housename:ja-latn						4		0		0		0		2		
addr:housename:source						2		0		0		0		1		
addr:housename:wikidata						5		0		0		0		2		
addr:housename:zh						82		0		0		0		63		
addr:housename_1						3		0		0		0		3		
addr:housename_2						1		0		0		0		1		
addr:housenumber						55783584	0		14		5364		833728		
addr:housenumber1						1		0		0		0		1		
addr:housenumber10						1		0		0		0		1		
addr:housenumber2						59		0		0		0		37		
addr:housenumber7						1		0		0		0		1		
addr:housenumber:-2020-08-31					3		0		0		0		2		
addr:housenumber:2015						4		0		0		0		4		
